uniprot	region_1	region_2	pdb	chain	pred_fn	gt_fn
Q51504	58-207	247-546	4fsf	A	AF-Q51504-F1-model_v4.cif	4fsf.cif
Q51504	58-207	247-546	4l0l	A	AF-Q51504-F1-model_v4.cif	4l0l.cif
Q51504	58-207	247-546	5df7	A	AF-Q51504-F1-model_v4.cif	5df7.cif
Q51504	58-207	247-546	5df8	A	AF-Q51504-F1-model_v4.cif	5df8.cif
Q51504	58-207	247-546	5df9	A	AF-Q51504-F1-model_v4.cif	5df9.cif
D9N168	3-169	336-543	3hpo	A	AF-D9N168-F1-model_v4.cif	3hpo.cif
D9N168	3-169	336-543	3ht3	A	AF-D9N168-F1-model_v4.cif	3ht3.cif
D9N168	3-169	336-543	4o0i	A	AF-D9N168-F1-model_v4.cif	4o0i.cif
D9N168	3-169	336-543	6p5c	C	AF-D9N168-F1-model_v4.cif	6p5c.cif
D9N168	3-169	336-543	6ueu	A	AF-D9N168-F1-model_v4.cif	6ueu.cif
D9N168	3-169	336-543	6ur2	A	AF-D9N168-F1-model_v4.cif	6ur2.cif
D9N168	3-169	336-543	6ur4	A	AF-D9N168-F1-model_v4.cif	6ur4.cif
D9N168	3-169	336-543	6ur9	A	AF-D9N168-F1-model_v4.cif	6ur9.cif
D9N168	3-169	336-543	6us5	A	AF-D9N168-F1-model_v4.cif	6us5.cif
D9N168	3-169	336-543	8scg	A	AF-D9N168-F1-model_v4.cif	8scg.cif
D9N168	3-169	336-543	8sci	A	AF-D9N168-F1-model_v4.cif	8sci.cif
D9N168	3-169	336-543	8scj	A	AF-D9N168-F1-model_v4.cif	8scj.cif
D9N168	3-169	336-543	8sck	A	AF-D9N168-F1-model_v4.cif	8sck.cif
D9N168	3-169	336-543	8scl	A	AF-D9N168-F1-model_v4.cif	8scl.cif
D9N168	3-169	336-543	8scm	A	AF-D9N168-F1-model_v4.cif	8scm.cif
D9N168	3-169	336-543	8scn	A	AF-D9N168-F1-model_v4.cif	8scn.cif
D9N168	3-169	336-543	8sco	A	AF-D9N168-F1-model_v4.cif	8sco.cif
D9N168	3-169	336-543	8scp	A	AF-D9N168-F1-model_v4.cif	8scp.cif
D9N168	3-169	336-543	8scq	A	AF-D9N168-F1-model_v4.cif	8scq.cif
D9N168	3-169	336-543	8scr	A	AF-D9N168-F1-model_v4.cif	8scr.cif
D9N168	3-169	336-543	8scs	A	AF-D9N168-F1-model_v4.cif	8scs.cif
D9N168	3-169	336-543	8sct	A	AF-D9N168-F1-model_v4.cif	8sct.cif
D9N168	3-169	336-543	8scu	A	AF-D9N168-F1-model_v4.cif	8scu.cif
O16025	374-490	491-1066	1u5u	A	AF-O16025-F1-model_v4.cif	1u5u.cif
O16025	374-490	491-1066	2fnq	A	AF-O16025-F1-model_v4.cif	2fnq.cif
O16025	374-490	491-1066	3dy5	A	AF-O16025-F1-model_v4.cif	3dy5.cif
O16025	374-490	491-1066	3fg1	A	AF-O16025-F1-model_v4.cif	3fg1.cif
O16025	374-490	491-1066	3fg3	A	AF-O16025-F1-model_v4.cif	3fg3.cif
O16025	374-490	491-1066	3fg4	A	AF-O16025-F1-model_v4.cif	3fg4.cif
O16025	374-490	491-1066	4qwt	A	AF-O16025-F1-model_v4.cif	4qwt.cif
A0A140DJY3	32-436	445-522	5wm2	A	AF-A0A140DJY3-F1-model_v4.cif	5wm2.cif
A0A140DJY3	32-436	445-522	5wm3	A	AF-A0A140DJY3-F1-model_v4.cif	5wm3.cif
A0A140DJY3	32-436	445-522	5wm4	A	AF-A0A140DJY3-F1-model_v4.cif	5wm4.cif
A0A140DJY3	32-436	445-522	5wm5	A	AF-A0A140DJY3-F1-model_v4.cif	5wm5.cif
A0A140DJY3	32-436	445-522	5wm6	A	AF-A0A140DJY3-F1-model_v4.cif	5wm6.cif
A0A140DJY3	32-436	445-522	5wm7	A	AF-A0A140DJY3-F1-model_v4.cif	5wm7.cif
G0WVH3	10-416	425-500	4d4g	A	AF-G0WVH3-F1-model_v4.cif	4d4g.cif
G0WVH3	10-416	425-500	4d4h	A	AF-G0WVH3-F1-model_v4.cif	4d4h.cif
G0WVH3	10-416	425-500	4d4i	A	AF-G0WVH3-F1-model_v4.cif	4d4i.cif
G0WVH3	10-416	425-500	4d56	A	AF-G0WVH3-F1-model_v4.cif	4d56.cif
G0WVH3	10-416	425-500	4d57	A	AF-G0WVH3-F1-model_v4.cif	4d57.cif
Q95VR4	11-109	147-325	1pp7	C	AF-Q95VR4-F1-model_v4.cif	1pp7.cif
Q95VR4	11-109	147-325	1pp8	I	AF-Q95VR4-F1-model_v4.cif	1pp8.cif
Q95VR4	11-109	147-325	1q87	A	AF-Q95VR4-F1-model_v4.cif	1q87.cif
Q95VR4	11-109	147-325	1q88	A	AF-Q95VR4-F1-model_v4.cif	1q88.cif
Q95VR4	11-109	147-325	1q89	A	AF-Q95VR4-F1-model_v4.cif	1q89.cif
E1K248	67-211	229-311	4ud2	A	AF-E1K248-F1-model_v4.cif	4ud2.cif
E1K248	67-211	229-311	4ud6	A	AF-E1K248-F1-model_v4.cif	4ud6.cif
E1K248	67-211	229-311	4ueq	A	AF-E1K248-F1-model_v4.cif	4ueq.cif
E1K248	67-211	229-311	4uew	A	AF-E1K248-F1-model_v4.cif	4uew.cif
A0A0A0V031	11-412	422-496	5e7q	A	AF-A0A0A0V031-F1-model_v4.cif	5e7q.cif
A0A0A0V031	11-412	422-496	5upq	A	AF-A0A0A0V031-F1-model_v4.cif	5upq.cif
A0A0A0V031	11-412	422-496	5ups	A	AF-A0A0A0V031-F1-model_v4.cif	5ups.cif
A0A0A0V031	11-412	422-496	5upt	A	AF-A0A0A0V031-F1-model_v4.cif	5upt.cif
P59676	632-691	692-750	1pyy	A	AF-P59676-F1-model_v4.cif	1pyy.cif
P59676	632-691	692-750	5oiz	A	AF-P59676-F1-model_v4.cif	5oiz.cif
P59676	632-691	692-750	5oj1	A	AF-P59676-F1-model_v4.cif	5oj1.cif
A0A0F7R6G7	27-435	443-519	6m01	A	AF-A0A0F7R6G7-F1-model_v4.cif	6m01.cif
A0A0F7R6G7	27-435	443-519	7dq5	A	AF-A0A0F7R6G7-F1-model_v4.cif	7dq5.cif
A0A0F7R6G7	27-435	443-519	7dq6	A	AF-A0A0F7R6G7-F1-model_v4.cif	7dq6.cif
Q7WU28	4-298	374-576	3q7v	A	AF-Q7WU28-F1-model_v4.cif	3q7v.cif
Q7WU28	4-298	374-576	3q7z	A	AF-Q7WU28-F1-model_v4.cif	3q7z.cif
O68880	38-167	220-351	4imh	A	AF-O68880-F1-model_v4.cif	4imh.cif
O68880	38-167	220-351	4mf9	A	AF-O68880-F1-model_v4.cif	4mf9.cif
O68880	38-167	220-351	4mgf	A	AF-O68880-F1-model_v4.cif	4mgf.cif
O29238	65-245	506-662	1gku	A	AF-O29238-F1-model_v4.cif	1gku.cif
O29238	65-245	506-662	1gl9	A	AF-O29238-F1-model_v4.cif	1gl9.cif
P47736	1-17	181-397	1srq	A	AF-P47736-F1-model_v4.cif	1srq.cif
P47736	1-17	181-397	3brw	A	AF-P47736-F1-model_v4.cif	3brw.cif
A0A3B6UEQ0	22-167	187-265	5xvb	B	AF-A0A3B6UEQ0-F1-model_v4.cif	5xvb.cif
A0A3B6UEQ0	22-167	187-265	5xvc	B	AF-A0A3B6UEQ0-F1-model_v4.cif	5xvc.cif
A0A3B6UEQ0	22-167	187-265	7vxq	B	AF-A0A3B6UEQ0-F1-model_v4.cif	7vxq.cif
Q941M3	31-439	448-523	3a9u	A	AF-Q941M3-F1-model_v4.cif	3a9u.cif
Q941M3	31-439	448-523	3a9v	A	AF-Q941M3-F1-model_v4.cif	3a9v.cif
Q941M3	31-439	448-523	3ni2	A	AF-Q941M3-F1-model_v4.cif	3ni2.cif
Q9RET4	60-236	331-595	2v2f	A	AF-Q9RET4-F1-model_v4.cif	2v2f.cif
H6SG27	24-429	437-515	5n9w	A	AF-H6SG27-F1-model_v4.cif	5n9w.cif
H6SG27	24-429	437-515	5n9x	A	AF-H6SG27-F1-model_v4.cif	5n9x.cif
F2Z7K9	71-221	263-557	6vbc	A	AF-F2Z7K9-F1-model_v4.cif	6vbc.cif
F2Z7K9	71-221	263-557	6vbd	A	AF-F2Z7K9-F1-model_v4.cif	6vbd.cif
F2Z6J5	63-211	231-312	3ayx	B	AF-F2Z6J5-F1-model_v4.cif	3ayx.cif
F2Z6J5	63-211	231-312	3ayz	B	AF-F2Z6J5-F1-model_v4.cif	3ayz.cif
Q9I5E6	18-268	300-476	6s62	A	AF-Q9I5E6-F1-model_v4.cif	6s62.cif
A0A0M3KKZ3	40-118	158-457	4wej	A	AF-A0A0M3KKZ3-F1-model_v4.cif	4wej.cif
A0A0M3KKZ3	40-118	158-457	4wel	A	AF-A0A0M3KKZ3-F1-model_v4.cif	4wel.cif
Q87I71	96-198	361-467	2p3y	A	AF-Q87I71-F1-model_v4.cif	2p3y.cif
Q87I71	96-198	361-467	3vb9	A	AF-Q87I71-F1-model_v4.cif	3vb9.cif
Q8X5N8	27-155	204-335	1u9t	A	AF-Q8X5N8-F1-model_v4.cif	1u9t.cif
Q8X5N8	27-155	204-335	4cdp	A	AF-Q8X5N8-F1-model_v4.cif	4cdp.cif
Q47NR5	33-441	450-525	6e8o	A	AF-Q47NR5-F1-model_v4.cif	6e8o.cif
Q47NR5	33-441	450-525	6e97	A	AF-Q47NR5-F1-model_v4.cif	6e97.cif
A0A0E8T757	632-691	692-750	5oau	A	AF-A0A0E8T757-F1-model_v4.cif	5oau.cif
A0A0E8T757	632-691	692-750	5oj0	A	AF-A0A0E8T757-F1-model_v4.cif	5oj0.cif
M4GWN4	9-409	418-493	7a9i	A	AF-M4GWN4-F1-model_v4.cif	7a9i.cif
M4GWN4	9-409	418-493	7a9j	A	AF-M4GWN4-F1-model_v4.cif	7a9j.cif
Q6NC13	22-429	437-512	4rmn	A	AF-Q6NC13-F1-model_v4.cif	4rmn.cif
Q6NC13	22-429	437-512	4zjz	A	AF-Q6NC13-F1-model_v4.cif	4zjz.cif
Q2G2X6	56-288	317-382	5txi	A	AF-Q2G2X6-F1-model_v4.cif	5txi.cif
Q2G2X6	56-288	317-382	8e2c	C	AF-Q2G2X6-F1-model_v4.cif	8e2c.cif
B1YSR8	70-218	259-555	5uy7	A	AF-B1YSR8-F1-model_v4.cif	5uy7.cif
B9PW60	11-171	201-324	4ir8	A	AF-B9PW60-F1-model_v4.cif	4ir8.cif
Q6NAE3	14-406	415-489	3ivr	A	AF-Q6NAE3-F1-model_v4.cif	3ivr.cif
A0R0V0	52-462	472-546	5kei	A	AF-A0R0V0-F1-model_v4.cif	5kei.cif
Q57540	56-288	317-382	1tvf	A	AF-Q57540-F1-model_v4.cif	1tvf.cif
A0A0M3KKZ4	40-118	158-457	4wek	A	AF-A0A0M3KKZ4-F1-model_v4.cif	4wek.cif
P83789	41-122	488-732	1ru3	A	AF-P83789-F1-model_v4.cif	1ru3.cif
A0A0J1PJ79	59-204	224-302	5xvd	B	AF-A0A0J1PJ79-F1-model_v4.cif	5xvd.cif
Q9L869	17-163	182-264	1e3d	A	AF-Q9L869-F1-model_v4.cif	1e3d.cif
Q8RR30	71-221	263-557	6vbl	A	AF-Q8RR30-F1-model_v4.cif	6vbl.cif
D3RV29	64-210	230-309	3myr	A	AF-D3RV29-F1-model_v4.cif	3myr.cif
A0A066ZR71	79-227	247-328	5y34	B	AF-A0A066ZR71-F1-model_v4.cif	5y34.cif
F3Y661	18-419	428-506	4wv3	A	AF-F3Y661-F1-model_v4.cif	4wv3.cif
Q63QJ1	71-219	260-558	6hzi	A	AF-Q63QJ1-F1-model_v4.cif	6hzi.cif
Q8KHY3	82-257	361-631	3dwk	A	AF-Q8KHY3-F1-model_v4.cif	3dwk.cif
Q2TU34	13-198	203-332	5zwk	A	AF-Q2TU34-F1-model_v4.cif	5zwk.cif
B7LGE4	59-204	224-302	6ehs	A	AF-B7LGE4-F1-model_v4.cif	6ehs.cif
A9T230	92-291	295-424	5iz1	A	AF-A9T230-F1-model_v4.cif	5iz1.cif
