uniprot	region_1	region_2	region_1_len	region_2_len	pdb	pdb_length	resolution	model	chain	label_offset	pdb residues in region_1	pdb residues in region_2	percent_region_1	percent_region_2	gt_fn	af_filename
D9N168	3-169	336-543	167	208	8sct	578	2.34	0	A	0	167	207	100.0	99.51923076923077	8sct.cif	AF-D9N168-F1-model_v4.cif
D9N168	3-169	336-543	167	208	8scu	578	2.38	0	A	0	167	207	100.0	99.51923076923077	8scu.cif	AF-D9N168-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	2wpn	277	2.04	0	A	0	154	79	100.0	100.0	2wpn.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze6	276	1.5	0	A	-34	153	79	99.35064935064936	100.0	3ze6.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze7	277	1.95	0	A	-34	154	79	100.0	100.0	3ze7.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze8	277	1.801	0	A	-34	154	79	100.0	100.0	3ze8.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3ze9	278	1.33	0	A	-34	153	79	99.35064935064936	100.0	3ze9.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	3zea	279	1.82	0	A	-34	154	79	100.0	100.0	3zea.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsh	283	1.3	0	A	0	154	79	100.0	100.0	5jsh.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsk	283	0.95	0	A	0	154	79	100.0	100.0	5jsk.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsu	283	1.4	0	A	0	154	79	100.0	100.0	5jsu.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jsy	283	1.04	0	A	0	154	79	100.0	100.0	5jsy.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	5jt1	283	1.35	0	A	0	154	79	100.0	100.0	5jt1.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6rtp	283	1.1	0	A	-34	154	79	100.0	100.0	6rtp.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6ru9	277	1.355	0	A	-34	154	79	100.0	100.0	6ru9.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6ruc	283	1.199	0	A	-34	154	79	100.0	100.0	6ruc.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z7r	279	1.77	0	A	-34	154	79	100.0	100.0	6z7r.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z8j	279	1.09	0	A	-34	154	79	100.0	100.0	6z8j.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z8m	283	1.02	0	A	-34	154	79	100.0	100.0	6z8m.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z8o	277	2.2	0	A	-34	154	79	100.0	100.0	6z8o.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z9g	277	1.76	0	A	-34	154	79	100.0	100.0	6z9g.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6z9o	279	1.53	0	A	-34	154	79	100.0	100.0	6z9o.cif	AF-Q72AS4-F1-model_v4.cif
Q72AS4	52-205	237-315	154	79	6za1	279	1.37	0	A	-34	154	79	100.0	100.0	6za1.cif	AF-Q72AS4-F1-model_v4.cif
P14677	632-691	692-750	60	59	1pmd	674	3.5	0	A	-75	60	59	100.0	100.0	1pmd.cif	AF-P14677-F1-model_v4.cif
P14677	632-691	692-750	60	59	1qme	557	2.4	0	A	-48	60	59	100.0	100.0	1qme.cif	AF-P14677-F1-model_v4.cif
P14677	632-691	692-750	60	59	1qmf	558	2.8	0	A	-48	59	59	98.33333333333333	100.0	1qmf.cif	AF-P14677-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	5tw4	357	1.57	0	A	-24	231	66	99.14163090128756	100.0	5tw4.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	5tw8	356	1.72	0	A	-24	233	66	100.0	100.0	5tw8.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	5tx9	356	1.68	0	A	-24	231	66	99.14163090128756	100.0	5tx9.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	5ty2	356	1.7	0	A	-24	230	66	98.71244635193133	100.0	5ty2.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	5ty7	355	1.894	0	A	-24	230	66	98.71244635193133	100.0	5ty7.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	6c3k	357	1.6	0	A	-16	231	66	99.14163090128756	100.0	6c3k.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	6dz8	358	1.86	0	A	-24	232	66	99.57081545064378	100.0	6dz8.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	7kcv	361	1.6	0	A	-16	232	66	99.57081545064378	100.0	7kcv.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	7kcw	359	1.73	0	A	-16	232	66	99.57081545064378	100.0	7kcw.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	7kcx	360	1.62	0	A	-16	232	66	99.57081545064378	100.0	7kcx.cif	AF-A0A0H2WY27-F1-model_v4.cif
A0A0H2WY27	56-288	317-382	233	66	7kcy	361	1.85	0	A	-16	233	66	100.0	100.0	7kcy.cif	AF-A0A0H2WY27-F1-model_v4.cif
Q8GN86	9-366	416-492	358	77	3cw9	503	2.0	0	A	0	358	77	100.0	100.0	3cw9.cif	AF-Q8GN86-F1-model_v4.cif
Q51504	58-206	247-546	149	300	3oc2	495	1.968	0	A	-15	149	284	100.0	94.66666666666667	3oc2.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	3ocl	498	2.3	0	A	-15	148	290	99.32885906040269	96.66666666666667	3ocl.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	3ocn	503	2.61	0	A	-15	149	292	100.0	97.33333333333334	3ocn.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	3pbs	499	2.0	0	A	-41	149	290	100.0	96.66666666666667	3pbs.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	4l0l	501	2.1	0	A	-42	149	290	100.0	96.66666666666667	4l0l.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	5df7	515	2.0	0	A	-15	149	300	100.0	100.0	5df7.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	5df8	514	2.0	0	A	-15	149	300	100.0	100.0	5df8.cif	AF-Q51504-F1-model_v4.cif
Q51504	58-206	247-546	149	300	5df9	509	2.7	0	A	-15	149	300	100.0	100.0	5df9.cif	AF-Q51504-F1-model_v4.cif
O16025	374-490	491-1066	117	576	2fnq	669	3.2	0	A	-367	115	554	98.29059829059828	96.18055555555556	2fnq.cif	AF-O16025-F1-model_v4.cif
O16025	374-490	491-1066	117	576	3dy5	1000	3.51	0	A	0	108	526	92.3076923076923	91.31944444444444	3dy5.cif	AF-O16025-F1-model_v4.cif
A0A140DJY3	32-394	445-522	363	78	5wm2	534	1.548	0	A	20	363	78	100.0	100.0	5wm2.cif	AF-A0A140DJY3-F1-model_v4.cif
A0A140DJY3	32-394	445-522	363	78	5wm3	535	1.679	0	A	20	363	78	100.0	100.0	5wm3.cif	AF-A0A140DJY3-F1-model_v4.cif
A0A140DJY3	32-394	445-522	363	78	5wm4	532	1.781	0	A	20	363	75	100.0	96.15384615384616	5wm4.cif	AF-A0A140DJY3-F1-model_v4.cif
A0A140DJY3	32-394	445-522	363	78	5wm5	531	1.797	0	A	20	363	76	100.0	97.43589743589743	5wm5.cif	AF-A0A140DJY3-F1-model_v4.cif
A0A140DJY3	32-394	445-522	363	78	5wm6	533	2.0	0	A	20	363	78	100.0	100.0	5wm6.cif	AF-A0A140DJY3-F1-model_v4.cif
A0A140DJY3	32-394	445-522	363	78	5wm7	533	1.777	0	A	20	363	78	100.0	100.0	5wm7.cif	AF-A0A140DJY3-F1-model_v4.cif
G0WVH3	10-368	425-500	359	76	4d4g	480	2.25	0	A	26	359	57	100.0	75.0	4d4g.cif	AF-G0WVH3-F1-model_v4.cif
G0WVH3	10-368	425-500	359	76	4d4i	481	2.0	0	A	26	359	58	100.0	76.31578947368422	4d4i.cif	AF-G0WVH3-F1-model_v4.cif
G0WVH3	10-368	425-500	359	76	4d56	482	2.1	0	A	26	359	59	100.0	77.63157894736842	4d56.cif	AF-G0WVH3-F1-model_v4.cif
G0WVH3	10-368	425-500	359	76	4d57	482	2.0	0	A	26	359	59	100.0	77.63157894736842	4d57.cif	AF-G0WVH3-F1-model_v4.cif
E1K248	67-210	229-311	144	83	4ud2	262	2.3	0	A	-50	144	83	100.0	100.0	4ud2.cif	AF-E1K248-F1-model_v4.cif
E1K248	67-210	229-311	144	83	4ud6	262	2.12	0	A	-50	144	83	100.0	100.0	4ud6.cif	AF-E1K248-F1-model_v4.cif
E1K248	67-210	229-311	144	83	4ueq	262	1.7	0	A	-50	144	83	100.0	100.0	4ueq.cif	AF-E1K248-F1-model_v4.cif
A0A0A0V031	11-372	422-496	362	75	5e7q	498	2.23	0	A	2	349	75	96.40883977900553	100.0	5e7q.cif	AF-A0A0A0V031-F1-model_v4.cif
A0A0A0V031	11-372	422-496	362	75	5upq	500	2.42	0	A	3	351	75	96.96132596685084	100.0	5upq.cif	AF-A0A0A0V031-F1-model_v4.cif
A0A0A0V031	11-372	422-496	362	75	5ups	509	2.05	0	A	3	352	75	97.23756906077348	100.0	5ups.cif	AF-A0A0A0V031-F1-model_v4.cif
A0A0A0V031	11-372	422-496	362	75	5upt	501	1.92	0	A	3	352	75	97.23756906077348	100.0	5upt.cif	AF-A0A0A0V031-F1-model_v4.cif
P59676	632-691	692-750	60	59	1pyy	605	2.42	0	A	-48	60	59	100.0	100.0	1pyy.cif	AF-P59676-F1-model_v4.cif
P59676	632-691	692-750	60	59	5oiz	651	2.7	0	A	-48	60	59	100.0	100.0	5oiz.cif	AF-P59676-F1-model_v4.cif
P59676	632-691	692-750	60	59	5oj1	675	2.85	0	A	-48	60	59	100.0	100.0	5oj1.cif	AF-P59676-F1-model_v4.cif
A0A0F7R6G7	27-384	443-519	358	77	6m01	489	2.0	0	A	16	352	61	98.32402234636871	79.22077922077922	6m01.cif	AF-A0A0F7R6G7-F1-model_v4.cif
A0A0F7R6G7	27-384	443-519	358	77	7dq5	490	2.45	0	A	16	348	63	97.20670391061452	81.81818181818183	7dq5.cif	AF-A0A0F7R6G7-F1-model_v4.cif
A0A0F7R6G7	27-384	443-519	358	77	8yyq	482	1.95	0	A	16	347	56	96.92737430167597	72.72727272727273	8yyq.cif	AF-A0A0F7R6G7-F1-model_v4.cif
A0A0F7R6G7	27-384	443-519	358	77	8yyr	495	1.8	0	A	16	347	65	96.92737430167597	84.4155844155844	8yyr.cif	AF-A0A0F7R6G7-F1-model_v4.cif
O68880	38-167	220-351	130	132	4imh	347	1.976	0	A	0	130	132	100.0	100.0	4imh.cif	AF-O68880-F1-model_v4.cif
O68880	38-167	220-351	130	132	4mf9	346	1.95	0	A	6	130	132	100.0	100.0	4mf9.cif	AF-O68880-F1-model_v4.cif
O68880	38-167	220-351	130	132	4mgf	342	2.0	0	A	6	127	132	97.6923076923077	100.0	4mgf.cif	AF-O68880-F1-model_v4.cif
A0A3B6UEQ0	22-167	187-264	146	78	7vxq	268	1.77	0	B	0	146	78	100.0	100.0	7vxq.cif	AF-A0A3B6UEQ0-F1-model_v4.cif
Q941M3	31-397	448-523	367	76	3a9u	523	2.4	0	A	0	359	76	97.82016348773843	100.0	3a9u.cif	AF-Q941M3-F1-model_v4.cif
Q941M3	31-397	448-523	367	76	3a9v	528	2.5	0	A	0	367	76	100.0	100.0	3a9v.cif	AF-Q941M3-F1-model_v4.cif
Q941M3	31-397	448-523	367	76	3ni2	528	1.9	0	A	0	367	76	100.0	100.0	3ni2.cif	AF-Q941M3-F1-model_v4.cif
H6SG27	24-376	438-515	353	78	5n9w	477	2.456	0	A	0	334	71	94.61756373937678	91.02564102564102	5n9w.cif	AF-H6SG27-F1-model_v4.cif
H6SG27	24-376	438-515	353	78	5n9x	489	2.396	0	A	0	344	70	97.45042492917847	89.74358974358975	5n9x.cif	AF-H6SG27-F1-model_v4.cif
F2Z6J5	63-211	231-312	149	82	3ayx	273	1.18	0	B	-40	149	82	100.0	100.0	3ayx.cif	AF-F2Z6J5-F1-model_v4.cif
F2Z6J5	63-211	231-312	149	82	3ayz	273	1.22	0	B	-40	149	82	100.0	100.0	3ayz.cif	AF-F2Z6J5-F1-model_v4.cif
Q9I5E6	18-267	300-476	250	177	6s62	485	2.36	0	A	0	250	177	100.0	100.0	6s62.cif	AF-Q9I5E6-F1-model_v4.cif
Q87I71	95-204	361-467	110	107	2p3y	447	1.8	0	A	0	107	106	97.27272727272728	99.06542056074767	2p3y.cif	AF-Q87I71-F1-model_v4.cif
Q87I71	95-204	361-467	110	107	3vb9	446	2.1	0	A	0	107	106	97.27272727272728	99.06542056074767	3vb9.cif	AF-Q87I71-F1-model_v4.cif
Q8X5N8	27-155	204-335	129	132	1u9t	325	2.16	0	A	12	128	131	99.2248062015504	99.24242424242425	1u9t.cif	AF-Q8X5N8-F1-model_v4.cif
Q8X5N8	27-155	204-335	129	132	4cdp	331	1.45	0	A	12	129	132	100.0	100.0	4cdp.cif	AF-Q8X5N8-F1-model_v4.cif
Q47NR5	33-399	450-525	367	76	6e8o	536	1.7	0	A	3	367	75	100.0	98.68421052631578	6e8o.cif	AF-Q47NR5-F1-model_v4.cif
Q47NR5	33-399	450-525	367	76	6e97	535	1.8	0	A	3	367	74	100.0	97.36842105263158	6e97.cif	AF-Q47NR5-F1-model_v4.cif
M4GWN4	7-368	418-493	362	76	7a9i	500	2.1	0	A	21	351	71	96.96132596685084	93.42105263157895	7a9i.cif	AF-M4GWN4-F1-model_v4.cif
M4GWN4	7-368	418-493	362	76	7a9j	502	1.72	0	A	21	353	72	97.51381215469614	94.73684210526315	7a9j.cif	AF-M4GWN4-F1-model_v4.cif
Q6NC13	22-387	437-512	366	76	4rmn	512	1.72	0	A	0	361	76	98.63387978142076	100.0	4rmn.cif	AF-Q6NC13-F1-model_v4.cif
Q6NC13	22-387	437-512	366	76	4zjz	511	1.7	0	A	0	361	76	98.63387978142076	100.0	4zjz.cif	AF-Q6NC13-F1-model_v4.cif
B9PW60	11-171	201-324	161	124	4ir8	310	1.85	0	A	17	147	124	91.30434782608695	100.0	4ir8.cif	AF-B9PW60-F1-model_v4.cif
A0R0V0	52-416	472-546	365	75	5kei	527	2.325	0	A	0	353	75	96.7123287671233	100.0	5kei.cif	AF-A0R0V0-F1-model_v4.cif
P83789	41-122	488-732	82	245	1ru3	728	2.2	0	A	0	82	245	100.0	100.0	1ru3.cif	AF-P83789-F1-model_v4.cif
Q9L869	17-163	182-264	147	83	1e3d	262	1.8	0	A	0	147	83	100.0	100.0	1e3d.cif	AF-Q9L869-F1-model_v4.cif
D3RV29	64-210	230-309	147	80	3myr	268	2.1	0	A	-50	147	80	100.0	100.0	3myr.cif	AF-D3RV29-F1-model_v4.cif
F3Y661	17-378	428-506	362	79	4wv3	510	2.599	0	A	0	356	79	98.34254143646409	100.0	4wv3.cif	AF-F3Y661-F1-model_v4.cif
Q2TU34	13-198	203-332	186	130	5zwk	319	2.104	0	A	0	178	130	95.6989247311828	100.0	5zwk.cif	AF-Q2TU34-F1-model_v4.cif
A9T230	93-291	295-424	199	130	5iz1	321	3.0	0	A	-88	183	130	91.95979899497488	100.0	5iz1.cif	AF-A9T230-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	1a62	122	1.55	0	A	0	44	76	93.61702127659575	100.0	1a62.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	1a63	130		0	A	0	47	76	100.0	100.0	1a63.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	3ice	385	2.8	0	A	3	29	76	61.702127659574465	100.0	3ice.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	6wa8	417	3.3	0	A	0	47	76	100.0	100.0	6wa8.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	7x2r	408	4.4	0	A	0	47	76	100.0	100.0	7x2r.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8ptg	419	4.4	0	A	0	47	76	100.0	100.0	8ptg.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8ptm	418	4.4	0	A	0	47	76	100.0	100.0	8ptm.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8ptn	418	4.4	0	A	0	47	76	100.0	100.0	8ptn.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8pto	418	4.4	0	A	0	47	76	100.0	100.0	8pto.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8ptp	418	4.4	0	A	0	47	76	100.0	100.0	8ptp.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8q3n	418	4.4	0	A	0	47	76	100.0	100.0	8q3n.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8q3o	418	4.4	0	A	0	47	76	100.0	100.0	8q3o.cif	AF-P0AG30-F1-model_v4.cif
P0AG30	1-47	48-123	47	76	8w8d	414	4.4	0	A	0	47	76	100.0	100.0	8w8d.cif	AF-P0AG30-F1-model_v4.cif
P23687	1-426	427-710	426	284	1e5t	707	1.7	0	A	0	424	283	99.53051643192488	99.64788732394366	1e5t.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1e8m	709	1.5	0	A	0	426	283	100.0	99.64788732394366	1e8m.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1e8n	709	1.5	0	A	0	426	283	100.0	99.64788732394366	1e8n.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1h2w	710	1.39	0	A	0	426	284	100.0	100.0	1h2w.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1h2x	709	1.49	0	A	0	426	283	100.0	99.64788732394366	1h2x.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1h2y	709	1.78	0	A	0	426	283	100.0	99.64788732394366	1h2y.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1h2z	709	1.65	0	A	0	426	283	100.0	99.64788732394366	1h2z.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1o6f	709	1.6	0	A	0	426	283	100.0	99.64788732394366	1o6f.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1o6g	708	1.4	0	A	0	425	283	99.76525821596243	99.64788732394366	1o6g.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1qfm	705	1.4	0	A	0	422	283	99.06103286384976	99.64788732394366	1qfm.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1qfs	710	2.0	0	A	0	426	284	100.0	100.0	1qfs.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1uoo	709	2.35	0	A	0	426	283	100.0	99.64788732394366	1uoo.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1uop	709	1.85	0	A	0	426	283	100.0	99.64788732394366	1uop.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1uoq	709	2.1	0	A	0	426	283	100.0	99.64788732394366	1uoq.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1vz2	707	2.2	0	A	0	424	283	99.53051643192488	99.64788732394366	1vz2.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	1vz3	709	1.6	0	A	0	426	283	100.0	99.64788732394366	1vz3.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	2xdw	710	1.35	0	A	0	426	284	100.0	100.0	2xdw.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	3eq7	707	2.89	0	A	0	423	284	99.29577464788733	100.0	3eq7.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	3eq8	709	2.73	0	A	0	425	284	99.76525821596243	100.0	3eq8.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	3eq9	708	2.47	0	A	0	424	284	99.53051643192488	100.0	3eq9.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4amy	710	2.0	0	A	0	426	284	100.0	100.0	4amy.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4amz	710	2.0	0	A	0	426	284	100.0	100.0	4amz.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4an0	710	2.2	0	A	0	426	284	100.0	100.0	4an0.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4an1	710	1.9	0	A	0	426	284	100.0	100.0	4an1.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4ax4	699	1.6	0	A	0	416	283	97.65258215962442	99.64788732394366	4ax4.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4bcb	710	1.7	0	A	0	426	284	100.0	100.0	4bcb.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4bcc	710	1.65	0	A	0	426	284	100.0	100.0	4bcc.cif	AF-P23687-F1-model_v4.cif
P23687	1-426	427-710	426	284	4bcd	710	1.5	0	A	0	426	284	100.0	100.0	4bcd.cif	AF-P23687-F1-model_v4.cif
O69275	1-226	227-427	226	201	2j3v	427	2.11	0	A	0	222	201	98.23008849557522	100.0	2j3v.cif	AF-O69275-F1-model_v4.cif
O69275	1-226	227-427	226	201	2j3x	426	1.75	0	A	0	222	200	98.23008849557522	99.50248756218906	2j3x.cif	AF-O69275-F1-model_v4.cif
O69275	1-226	227-427	226	201	2j3z	428	2.3	0	A	0	223	201	98.67256637168141	100.0	2j3z.cif	AF-O69275-F1-model_v4.cif
Q7KLV9	1-223	224-392	223	169	3txm	353	3.0	0	A	-28	186	167	83.40807174887892	98.81656804733728	3txm.cif	AF-Q7KLV9-F1-model_v4.cif
Q7KLV9	1-223	224-392	223	169	3txn	353	2.496	0	A	-28	186	167	83.40807174887892	98.81656804733728	3txn.cif	AF-Q7KLV9-F1-model_v4.cif
H2E7Q8	1-80,452-730	81-451	359	371	5n4b	721	1.44	0	A	1	350	371	97.49303621169916	100.0	5n4b.cif	AF-H2E7Q8-F1-model_v4.cif
H2E7Q8	1-80,452-730	81-451	359	371	5n4c	721	2.19	0	A	0	352	369	98.05013927576601	99.46091644204851	5n4c.cif	AF-H2E7Q8-F1-model_v4.cif
H2E7Q8	1-80,452-730	81-451	359	371	5n4d	719	1.62	0	A	0	350	369	97.49303621169916	99.46091644204851	5n4d.cif	AF-H2E7Q8-F1-model_v4.cif
H2E7Q8	1-80,452-730	81-451	359	371	5n4e	713	2.9	0	A	0	350	363	97.49303621169916	97.84366576819407	5n4e.cif	AF-H2E7Q8-F1-model_v4.cif
H2E7Q8	1-80,452-730	81-451	359	371	5n4f	703	2.4	0	A	0	341	362	94.98607242339833	97.57412398921834	5n4f.cif	AF-H2E7Q8-F1-model_v4.cif
P04958	1-250	251-451	250	201	4j1l	388	2.6	0	A	-1	229	159	91.60000000000001	79.1044776119403	4j1l.cif	AF-P04958-F1-model_v4.cif
P04958	1-250	251-451	250	201	5n0b	1278	2.6	0	A	20	250	188	100.0	93.53233830845771	5n0b.cif	AF-P04958-F1-model_v4.cif
P04958	1-250	251-451	250	201	5n0c	1291	2.6	0	A	20	250	193	100.0	96.01990049751244	5n0c.cif	AF-P04958-F1-model_v4.cif
P04958	1-250	251-451	250	201	7by5	1281	2.27	0	A	7	247	190	98.8	94.5273631840796	7by5.cif	AF-P04958-F1-model_v4.cif
